Fuar Adı,Başlangıç,Bitiş,Şehir,Sektör,Düzenleyici,Web,Katılımcı Listesi
"Cfe 2026 - Carpet And Flooring Expo -  Halı, Kilim, Zemin Kaplamaları Ve Teknolojileri Fuarı",2026-01-06,2026-01-09,İstanbul,İş Makineleri & İnşaat,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Horeca Fair 7. Uluslararası Otel, Restoran, Kafe, Fırın Ekipmanları, Unlu Mamuller, Dondurma, Pastacılık Teknolojileri Ve Ev Dışı Tüketim Fuarı",2026-01-07,2026-01-10,İzmir,Turizm & Otelcilik,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.glplatformfuar.com,
"Pack&Plast Fair Türkiye 4.Uluslararası Ambalajlama, Paketleme Plastik Endüstri Teknolojileri Fuarı",2026-01-07,2026-01-10,İzmir,Endüstri & Otomasyon,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.glplatformfuar.com,
"Pet İzmir 2026 9. Uluslararası Evcil Hayvan Ürün, Malzeme Ve Aksesuar Tedarikçileri Fuarı",2026-01-08,2026-01-11,İzmir,Genel / Diğer,Tema Fuarcılık Anonim Şirketi,https://www.temafair.com,
"Karavanist İstanbul 6. Karavan Ve  Ekipmanları, Tiny House, Outdoor Ve Kamp Malzemeleri Fuarı",2026-01-10,2026-01-18,İstanbul,Otomotiv,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Çukurova 18. Kitap Fuarı,2026-01-10,2026-01-18,Adana,Eğitim,"1) Tüyap Tüm Fuarcılık Yapım Anonim Şirketi
2) Çukurova Fuarcılık A.Ş.",https://www.tuyap.com.tr,
Anfaş Food Product - 32. Uluslararası Gıda  Ve İçecek İhtisas Fuarı,2026-01-13,2026-01-16,Antalya,Gıda & Tarım,Anfaş Antalya Fuarcılık İşletme Ve Yatırım Anonim Şirketi,https://www.anfas.com,
Anfaş Hotel Equıpment - 36. Uluslararası Konaklama Ve Ağırlama Ekipmanları İhtisas  Fuarı,2026-01-13,2026-01-16,Antalya,Endüstri & Otomasyon,Anfaş Antalya Fuarcılık İşletme Ve Yatırım Anonim Şirketi,https://www.anfas.com.tr,
"21. Ege Tarım, Sera Ve Hayvancılık Fuarı",2026-01-14,2026-01-18,Denizli,Endüstri & Otomasyon,Orion Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://www.denizlitarimfuari.com,
"Atrax'26 - 13. Uluslararası Eğlence, Park, Spor  Ve Rekreasyon Alanları Endüstrisi Fuarı",2026-01-15,2026-01-17,İstanbul,Endüstri & Otomasyon,Tureks Uluslararası Fuarcılık Anonim Şirketi,https://www.tureksfuar.com.tr,
"3. Alanya Ev Dışı Tüketim Ürünleri, Gıda Ve İçecek Fuarı",2026-01-20,2026-01-22,Antalya,Gıda & Tarım,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
"3. Alanya Otel, Restaurant, Kafe Ekipmanları Fuarı",2026-01-20,2026-01-22,Antalya,Mobilya & İç Mekan,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
"If Wedding Fashion İzmir 19. Gelinlik, Damatlık Ve Abiye Giyim Fuarı",2026-01-20,2026-01-22,İzmir,Tekstil & Moda,İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi,https://www.izfas.com.tr,
"Junıoshow Bursa 21.Uluslararası Bebe, Çocuk Hazır Giyim Ve Çocuk İhtiyaçları Fuarı",2026-01-20,2026-01-22,Bursa,Genel / Diğer,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
Game Expo  - Antalya,2026-01-22,2026-01-25,Antalya,Endüstri & Otomasyon,Geoexpo Fuar Ve Medya Limited Şirketi,https://gameexpo.com.tr,
Uluslararası İstanbul Mobilya Fuarı,2026-01-27,2026-01-31,İstanbul,Mobilya & İç Mekan,"1) Tüyap Tüm Fuarcılık Yapım Anonim Şirketi
2) Mos Fuarcılık Anonim Şirketi",https://www.tuyap.com.tr,
21. Agroexpo Uluslararası Tarım Ve Hayvancılık Fuarı,2026-02-03,2026-02-07,İzmir,Gıda & Tarım,Orion Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://www.agroexpo.com.tr,
Ifco İstanbul Fashion Connection Hazır Giyim Ve Moda Fuarı,2026-02-04,2026-02-07,İstanbul,Tekstil & Moda,İtkib Fuarcılık Anonim Şirketi,https://www.ifco.com.tr,
Ankara 5. Kamp Karavan Ve Doğa Sporları Fuarı,2026-02-05,2026-02-08,Ankara,Otomotiv,Zümrüt Fuarcılık Tan. Org. San. Ve Tic. Ltd. Şti.,https://www.zumrutfuarcilik.com.tr,
